date,ranking,name,country,url,points,tournaments
08.09.2014,332,"Silva, Frederico Ferreira",POR,/Tennis/Players/Si/F/Frederico-Ferreira-Silva.aspx,134,28
08.09.2014,333,"Lokoli, Laurent",FRA,/Tennis/Players/Lo/L/Laurent-Lokoli.aspx,132,23
08.09.2014,334,"Venus, Michael",NZL,/Tennis/Players/Ve/M/Michael-Venus.aspx,132,14
08.09.2014,335,"Ouahab, Lamine",MAR,/Tennis/Players/Ou/L/Lamine-Ouahab.aspx,132,15
08.09.2014,336,"Salamanca, Carlos",COL,/Tennis/Players/Sa/C/Carlos-Salamanca.aspx,131,19
08.09.2014,337,"Donaldson, Jared",USA,/Tennis/Players/Do/J/Jared-Donaldson.aspx,131,21
08.09.2014,338,"Dellien, Hugo",BOL,/Tennis/Players/De/H/Hugo-Dellien.aspx,131,24
08.09.2014,339,"Cagnina, Julien",BEL,/Tennis/Players/Ca/J/Julien-Cagnina.aspx,130,23
08.09.2014,340,"Donati, Matteo",ITA,/Tennis/Players/Do/M/Matteo-Donati.aspx,130,29
08.09.2014,341,"Kicker, Nicolas",ARG,/Tennis/Players/Ki/N/Nicolas-Kicker.aspx,129,28
08.09.2014,342,"Peliwo, Filip",CAN,/Tennis/Players/Pe/F/Filip-Peliwo.aspx,128,17
08.09.2014,343,"Velotti, Agustin",ARG,/Tennis/Players/Ve/A/Agustin-Velotti.aspx,127,17
08.09.2014,344,"Niki, Takuto",JPN,/Tennis/Players/Ni/T/Takuto-Niki.aspx,127,23
08.09.2014,345,"Lizariturry, Juan",ESP,/Tennis/Players/Li/J/Juan-Lizariturry.aspx,127,26
08.09.2014,346,"Sikora, Adrian",SVK,/Tennis/Players/Si/A/Adrian-Sikora.aspx,127,29
08.09.2014,347,"De Paula, Fabiano",BRA,/Tennis/Players/De/F/Fabiano-De-Paula.aspx,126,23
08.09.2014,348,"Meister, Nicolas",USA,/Tennis/Players/Me/N/Nicolas-Meister.aspx,126,27
08.09.2014,349,"Gigounon, Germain",BEL,/Tennis/Players/Gi/G/Germain-Gigounon.aspx,126,30
08.09.2014,350,"Rufin, Guillaume",FRA,/Tennis/Players/Ru/G/Guillaume-Rufin.aspx,125,11
08.09.2014,351,"Langer, Nils",GER,/Tennis/Players/La/N/Nils-Langer.aspx,125,20
08.09.2014,352,"Banes, Maverick",AUS,/Tennis/Players/Ba/M/Maverick-Banes.aspx,125,25
08.09.2014,353,"Fratangelo, Bjorn",USA,/Tennis/Players/Fr/B/Bjorn-Fratangelo.aspx,124,20
